id,ScientificName,CommonName,AcceptedSymbol,Symbol,State,Category,FamilyCommonName,Duration,GrowthHabit,NativeStatus,ActiveGrowthPeriod,FlowerColor,FoliageColor,FoliagePorositySummer,FoliagePorosityWinter,FruitColor,GrowthRate,MaxHeight20Yrs,MatureHeight,Lifespan,ResproutAbility,AdaptedCoarseSoils,AdaptedMediumSoils,AdaptedFineSoils,AnaerobicTolerance,DroughtTolerance,MoistureUse,Precipitation_Minimum,Precipitation_Maximum,RootDepthMinimum,ShadeTolerance,TemperatureMinimum,BloomPeriod,PalatableBrowseAnimal,PalatableGrazeAnimal,PalatableHuman
11,Acacia mangium,,ACMA12,ACMA12,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
12,Acer,Maple,ACER,ACER,"<strong>USA</strong> (AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), <strong>CAN</strong> (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, CA), <strong>FRA</strong> (SPM)",Dicot,Maple family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
13,Acer barbatum,Florida maple,ACBA3,ACBA3,"<strong>USA</strong> (AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)",Dicot,Maple family,Perennial,Tree,L48 (N),Spring and Summer,Yellow,Green,Dense,Porous,Red,Moderate,30,60,Moderate,No,Yes,Yes,No,None,Low,Medium,40,65,24,Tolerant,-3,Mid Spring,Low,,Yes
14,Acer campestre,hedge maple,ACCA5,ACCA5,"<strong>USA</strong> (IN, MA, NJ, NY, OH, PA), <strong>CAN</strong> (ON, CA)",Dicot,Maple family,Perennial,"Tree, Shrub","L48 (I), CAN (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
15,Acer glabrum,Rocky Mountain maple,ACGL,ACGL,"<strong>USA</strong> (AK, AZ, CO, ID, MT, NE, NM, NV, OR, SD, UT, WA, WY), <strong>CAN</strong> (AB, BC, CA)",Dicot,Maple family,Perennial,"Tree, Shrub","L48 (N), AK (I?), CAN (N)",Spring and Summer,Green,Green,Dense,Porous,Brown,Rapid,15,30,Moderate,Yes,Yes,Yes,No,None,Medium,Low,12,25,24,Intermediate,-43,Late Spring,High,Low,No
16,Acer grandidentatum,bigtooth maple,ACGR3,ACGR3,"<strong>USA</strong> (AZ, CO, ID, MT, NM, NV, TX, UT, WA, WY)",Dicot,Maple family,Perennial,"Tree, Shrub",L48 (N),Spring and Summer,Yellow,Green,Moderate,Porous,Brown,Moderate,20,30,Short,Yes,No,Yes,Yes,None,Low,Medium,12,30,24,Intermediate,-23,Spring,Low,,No
17,Acer leucoderme,chalk maple,ACLE,ACLE,"<strong>USA</strong> (AL, AR, DC, FL, GA, LA, MS, NC, OK, SC, TN, TX)",Dicot,Maple family,Perennial,"Tree, Shrub",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
18,Acer negundo,boxelder,ACNE2,ACNE2,"<strong>USA</strong> (AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), <strong>CAN</strong> (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK, CA)",Dicot,Maple family,Perennial,Tree,"L48 (N), CAN (N)",Spring and Summer,Yellow,Green,Dense,Porous,Brown,Rapid,35,60,Short,Yes,Yes,Yes,Yes,None,High,Medium,17,60,40,Tolerant,-43,Early Spring,Low,Low,No
19,Acer negundo var. arizonicum,Arizona boxelder,ACNEA,ACNEA,"<strong>USA</strong> (AZ, NM)",Dicot,Maple family,Perennial,Tree,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
20,Acer nigrum,black maple,ACNI5,ACNI5,"<strong>USA</strong> (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, PA, SD, TN, VA, VT, WI, WV), <strong>CAN</strong> (ON, QC)",Dicot,Maple family,Perennial,Tree,"L48 (N), CAN (N)",Spring and Summer,Yellow,Green,Dense,Porous,Brown,Moderate,28,100,Moderate,Yes,Yes,Yes,Yes,Low,Medium,Medium,25,56,30,Intolerant,-33,Late Spring,Medium,,No
21,Acer pensylvanicum,striped maple,ACPE,ACPE,"<strong>USA</strong> (CT, GA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV), <strong>CAN</strong> (NB, NS, ON, PE, QC)",Dicot,Maple family,Perennial,"Tree, Shrub","L48 (N), CAN (N)",Spring and Summer,Yellow,Green,Moderate,Porous,Brown,Slow,25,35,Short,Yes,Yes,Yes,No,None,Low,Low,28,64,28,Tolerant,-23,Late Spring,High,Medium,No
22,Acer platanoides,Norway maple,ACPL,ACPL,"<strong>USA</strong> (CT, DC, DE, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NY, OH, OR, PA, RI, TN, VA, VT, WA, WI, WV), <strong>CAN</strong> (BC, NB, NS, ON, PE, QC)",Dicot,Maple family,Perennial,Tree,"L48 (I), CAN (I)",Spring and Summer,,Green,Dense,Moderate,Brown,Rapid,25,50,Short,No,Yes,Yes,Yes,None,Medium,Medium,32,50,40,Intermediate,-43,Early Spring,Low,Low,No
23,Acer pseudoplatanus,sycamore maple,ACPS,ACPS,"<strong>USA</strong> (CT, DC, DE, IL, KY, MA, MD, ME, MI, NC, NJ, NY, PA, RI), <strong>CAN</strong> (BC, NB, NS, ON)",Dicot,Maple family,Perennial,Tree,"L48 (I), CAN (I)",Spring and Summer,Yellow,Yellow-Green,Dense,Porous,Brown,Moderate,60,100,Moderate,Yes,No,Yes,Yes,None,Medium,Medium,32,60,48,Intolerant,-23,Late Spring,Low,Low,No
24,Acer rubrum,red maple ,ACRU,ACRU,"<strong>USA</strong> (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV), <strong>CAN</strong> (NB, NF, NS, ON, PE, QC)",Dicot,Maple family,Perennial,Tree,"L48 (N), CAN (N)",Spring and Summer,Red,Green,Dense,Porous,Brown,Rapid,35,90,Short,Yes,Yes,Yes,Yes,Medium,Low,High,32,50,30,Tolerant,-38,Early Spring,Medium,Low,No
25,Acer saccharinum,silver maple,ACSA2,ACSA2,"<strong>USA</strong> (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WA, WI, WV), <strong>CAN</strong> (NB, ON, QC, SK, CA)",Dicot,Maple family,Perennial,Tree,"L48 (N), CAN (N)",Spring and Summer,,Green,Dense,Porous,Brown,Rapid,45,80,Short,Yes,Yes,Yes,Yes,High,Low,Medium,32,50,32,Intermediate,-38,Early Spring,Low,Low,No
26,Acer saccharum,sugar maple ,ACSA3,ACSA3,"<strong>USA</strong> (AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SD, TN, VA, VT, WI, WV), <strong>CAN</strong> (NB, NS, ON, PE, QC)",Dicot,Maple family,Perennial,"Tree, Shrub","L48 (N), CAN (N)",Spring and Summer,Yellow,Green,Dense,Porous,Brown,Slow,20,100,Long,No,Yes,Yes,No,None,Medium,Medium,20,80,40,Tolerant,-43,Mid Spring,High,,Yes
27,Acer spicatum,mountain maple,ACSP2,ACSP2,"<strong>USA</strong> (AL, CT, GA, IA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV), <strong>CAN</strong> (LB, MB, NB, NF, NS, ON, PE, QC, SK), <strong>FRA</strong> (SPM)",Dicot,Maple family,Perennial,"Tree, Shrub","L48 (N), CAN (N), SPM (N)",Spring and Summer,Yellow,Green,Dense,Porous,Brown,Moderate,30,30,Moderate,Yes,No,Yes,No,Low,Low,Medium,30,60,32,Tolerant,-28,Spring,Medium,Low,No
28,Acrostichum aureum,golden leatherfern,ACAU3,ACAU3,"<strong>USA</strong> (FL, HI), <strong>USA+</strong> (PR, VI)",Fern,Maidenhair Fern family,Perennial,Forb/herb,"L48 (N), HI (I), PR (N), VI (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
29,Adenocaulon bicolor,American trailplant,ADBI,ADBI,"<strong>USA</strong> (ID, MI, MN, MT, ND, OR, SD, WA, WY), <strong>CAN</strong> (AB, BC, ON, CA)",Dicot,Aster family,Perennial,Forb/herb,"L48 (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
30,Adiantum pedatum,northern maidenhair,ADPE,ADPE,"<strong>USA</strong> (AK, AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV), <strong>CAN</strong> (NB, NS, ON, QC)",Fern,Maidenhair Fern family,Perennial,Forb/herb,"L48 (N), CAN (N)",Spring and Summer,Brown,Dark Green,Moderate,Porous,Brown,Moderate,0,1,Moderate,No,Yes,Yes,No,Low,Low,Medium,36,60,10,Tolerant,-38,Summer,,,No
31,Adoxa moschatellina,muskroot,ADMO,ADMO,"<strong>USA</strong> (AK, CO, IA, IL, MN, MT, NM, NY, SD, UT, WI, WY), <strong>CAN</strong> (AB, BC, MB, NT, ON, SK, YT)",Dicot,Moschatel family,Perennial,Forb/herb,"L48 (N), AK (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
32,Aegilops geniculata,ovate goatgrass,AEGE,AEGE,"<strong>USA</strong> (NY, VA), <strong>CAN</strong> (CA)",Monocot,Grass family,Annual,Graminoid,L48 (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
33,Aegopodium podagraria,bishop's goutweed,AEPO,AEPO,"<strong>USA</strong> (CT, DC, DE, GA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, NH, NJ, NY, OH, OR, PA, RI, SC, TN, VA, VT, WA, WI, WV), <strong>CAN</strong> (BC, MB, NB, NS, ON, QC, SK), <strong>FRA</strong> (SPM)",Dicot,Carrot family,Perennial,Forb/herb,"L48 (I), CAN (I), SPM (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
34,Aesculus,buckeye,AESCU,AESCU,"<strong>USA</strong> (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, WI, WV), <strong>CAN</strong> (BC, NB, ON, QC, CA)",Dicot,Horse-chestnut family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
35,Aesculus flava,yellow buckeye,AEFL,AEFL,"<strong>USA</strong> (AL, DC, GA, IL, IN, KY, MD, MS, NC, NJ, OH, PA, SC, TN, VA, WV)",Dicot,Horse-chestnut family,Perennial,"Tree, Shrub",L48 (N),Spring and Summer,Yellow,Green,Dense,Porous,Brown,Moderate,30,65,Long,Yes,No,Yes,No,None,Low,High,40,80,36,Tolerant,-13,Late Spring,Low,,No
36,Aesculus glabra,Ohio buckeye,AEGL,AEGL,"<strong>USA</strong> (AL, AR, GA, IA, IL, IN, KS, KY, ME, MI, MN, MO, MS, NE, NH, NJ, NY, OH, OK, PA, TN, TX, WI, WV), <strong>CAN</strong> (ON)",Dicot,Horse-chestnut family,Perennial,Tree,"L48 (N), CAN (N)",Spring and Summer,White,Green,Dense,Porous,Brown,Rapid,25,70,Long,Yes,No,Yes,Yes,None,Medium,Medium,35,55,36,Tolerant,-33,Mid Spring,Low,Low,No
37,Aesculus glabra var arguta,Texas buckeye,AEGLA,AEGLA,"<strong>USA</strong> (AR, IA, KS, MO, NE, OK, TX)",Dicot,Horse-chestnut family,Perennial,Tree,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
38,Xanthoria fallax var. fallax,,XAFAF,XAFAF,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
39,Afzelia africana,African mahogany,AFAF,AFAF,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
40,Agapanthus africanus,lily of the Nile,AGAF,AGAF,,Monocot,Lily family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
41,Agastache foeniculum,blue giant hyssop,AGFO,AGFO,"<strong>USA</strong> (CO, CT, DE, IA, IL, KY, MI, MN, MT, ND, NE, NH, NY, PA, SD, WA, WI, WY), <strong>CAN</strong> (AB, BC, MB, NB, NT, ON, QC, SK)",Dicot,Mint family,Perennial,"Subshrub, Forb/herb","L48 (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
42,Agave weberi,Weber's century plant,AGWE,AGWE,<strong>USA</strong> (TX),Monocot,Century-plant family,Perennial,"Subshrub, Shrub, Forb/herb",L48 (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
43,Elymus caninus,bearded wheatgrass,ELCA11,ELCA11,"<strong>USA</strong> (OR, WA)",Monocot,Grass family,Perennial,Graminoid,L48 (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
44,Elymus repens,quackgrass,ELRE4,ELRE4,"<strong>USA</strong> (AK, AR, AZ, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), <strong>CAN</strong> (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT, CA), <strong>DEN</strong> (GL), <strong>FRA</strong> (SPM)",Monocot,Grass family,Perennial,Graminoid,"L48 (I), AK (I), CAN (I), GL (I), SPM (I)",Spring and Summer,Yellow,Green,Moderate,Porous,Brown,Rapid,0,3,Moderate,No,Yes,Yes,Yes,Low,Low,Medium,24,65,14,Intolerant,-43,Mid Spring,Medium,High,No
45,Agrostis capillaris,colonial bentgrass,AGCA5,AGCA5,"<strong>USA</strong> (AK, AL, AR, CT, DC, HI, ID, IL, IN, KY, MA, MD, ME, MI, MO, MS, MT, NC, ND, NH, NJ, NV, NY, OH, OR, PA, RI, SC, TN, UT, VA, VT, WA, WV, WY), <strong>CAN</strong> (BC, LB, NB, NF, NS, ON, PE, QC, YT, CA), <strong>DEN</strong> (GL), <strong>FRA</strong> (SPM)",Monocot,Grass family,Perennial,Graminoid,"L48 (I), AK (I), HI (I), CAN (I), GL (I), SPM (I)",Spring and Summer,Yellow,Green,Porous,Porous,Brown,Rapid,0,2,Short,No,Yes,Yes,No,Medium,Low,High,32,60,12,Intolerant,-53,Mid Summer,Low,Medium,No
46,Agrostis capillaris,colonial bentgrass,AGCA5,AGCA5,"<strong>USA</strong> (AK, AL, AR, CT, DC, HI, ID, IL, IN, KY, MA, MD, ME, MI, MO, MS, MT, NC, ND, NH, NJ, NV, NY, OH, OR, PA, RI, SC, TN, UT, VA, VT, WA, WV, WY), <strong>CAN</strong> (BC, LB, NB, NF, NS, ON, PE, QC, YT, CA), <strong>DEN</strong> (GL), <strong>FRA</strong> (SPM)",Monocot,Grass family,Perennial,Graminoid,"L48 (I), AK (I), HI (I), CAN (I), GL (I), SPM (I)",Spring and Summer,Yellow,Green,Porous,Porous,Brown,Rapid,0,2,Short,No,Yes,Yes,No,Medium,Low,High,32,60,12,Intolerant,-53,Mid Summer,Low,Medium,No
47,Ailanthus altissima,ailanthus,AIAL,AIAL,"<strong>USA</strong> (AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WV), <strong>CAN</strong> (ON, QC, CA)",Dicot,Quassia family,Perennial,Tree,"L48 (I), HI (I), CAN (I)",Spring and Summer,,Green,Moderate,Moderate,Red,Rapid,50,50,Short,Yes,Yes,Yes,Yes,None,Medium,Medium,32,50,30,Intolerant,-13,Late Spring,Low,Low,No
48,Ajuga reptans,common bugle,AJRE,AJRE,"<strong>USA</strong> (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MS, NC, NJ, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV), <strong>CAN</strong> (BC, NF, NS, ON, QC)",Dicot,Mint family,Perennial,Forb/herb,"L48 (I), CAN (I)","Spring, Summer, Fall",Blue,Green,,,,Rapid,0,0,Moderate,No,No,Yes,Yes,None,Low,High,35,65,10,Tolerant,-23,Mid Summer,Low,Low,No
49,Albizia chinensis,Chinese albizia,ALCH2,ALCH2,<strong>USA</strong> (HI),Dicot,Pea family,Perennial,Tree,HI (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
50,Falcataria moluccana,peacocksplume,FAMO,FAMO,<strong>USA</strong> (HI),Dicot,Pea family,Perennial,Tree,HI (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
51,Albizia julibrissin,mimosa,ALJU,ALJU,"<strong>USA</strong> (AL, AR, AZ, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, MO, MS, NC, NJ, NM, NY, OH, OK, PA, SC, TN, TX, UT, VA, WV), <strong>CAN</strong> (CA)",Dicot,Pea family,Perennial,"Tree, Shrub",L48 (I),Spring and Summer,Yellow,White-Gray,Porous,Porous,Brown,Rapid,20,25,Moderate,Yes,Yes,Yes,Yes,Low,Medium,Medium,30,60,30,Intolerant,2,Mid Summer,Low,Low,No
52,Albizia lebbeck,woman's tongue,ALLE,ALLE,"<strong>USA</strong> (FL, HI, TX), <strong>USA+</strong> (PR, VI), <strong>CAN</strong> (CA)",Dicot,Pea family,Perennial,Tree,"L48 (I), HI (I), PR (I), VI (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
53,Albizia schimperiana,,ALSC11,ALSC11,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
54,Alchemilla filicaulis ssp. vestita,thinstem lady's mantle,ALFIV,ALFIV,"<strong>USA</strong> (MA), <strong>CAN</strong> (LB, NF, NS, QC), <strong>DEN</strong> (GL)",Dicot,Rose family,Perennial,Forb/herb,"L48 (N), CAN (N), GL (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
55,Alchornea latifolia,achiotillo,ALLA,ALLA,"<strong>USA+</strong> (PR, VI)",Dicot,Spurge family,Perennial,Tree,"PR (N), VI (N)","Fall, Winter and Spring",Green,Green,,,Red,,79,52,Long,No,No,Yes,No,,Medium,,0,0,36,Intolerant,40,Early Spring,,,No
56,Alliaria petiolata,garlic mustard,ALPE4,ALPE4,"<strong>USA</strong> (AK, AR, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, SC, TN, UT, VA, VT, WA, WI, WV), <strong>CAN</strong> (BC, NB, NS, ON, QC)",Dicot,Mustard family,"Annual, Biennial",Forb/herb,"L48 (I), AK (I), CAN (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
57,Allium ursinum,bear garlic,ALUR,ALUR,,Monocot,Lily family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
58,Allocasuarina,,ALLOC2,ALLOC2,,Dicot,She-oak family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
59,Alnus,alder,ALNUS,ALNUS,"<strong>USA</strong> (AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY), <strong>CAN</strong> (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT, CA), <strong>DEN</strong> (GL), <strong>FRA</strong> (SPM)",Dicot,Birch family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
60,Alnus viridis ssp. crispa,mountain alder,ALVIC,ALVIC,"<strong>USA</strong> (AK, MA, ME, MI, MN, NC, NH, NY, PA, TN, VT, WI), <strong>CAN</strong> (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK), <strong>DEN</strong> (GL), <strong>FRA</strong> (SPM)",Dicot,Birch family,Perennial,"Tree, Shrub","L48 (N), CAN (N), GL (N), SPM (N)",Spring and Summer,Yellow,Green,Moderate,Porous,Brown,Moderate,10,10,Moderate,Yes,No,Yes,No,High,None,High,30,60,20,Intermediate,-38,Summer,Medium,Low,No
61,Alnus glutinosa,European alder,ALGL2,ALGL2,"<strong>USA</strong> (CT, DC, DE, IA, IL, IN, KS, MA, MI, MN, MO, NJ, NY, OH, PA, TN, VT, WI), <strong>CAN</strong> (NS, ON)",Dicot,Birch family,Perennial,Tree,"L48 (I), CAN (I)",Spring and Summer,,Green,Moderate,Porous,Brown,Rapid,40,60,Moderate,Yes,Yes,Yes,Yes,None,High,Medium,28,65,16,Intolerant,-28,Mid Spring,Low,Low,No
62,Alnus incana ssp. incana,gray alder,ALINI2,ALINI2,,Dicot,Birch family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
63,Alnus rhombifolia,white alder,ALRH2,ALRH2,"<strong>USA</strong> (ID, MT, NV, OR, WA), <strong>CAN</strong> (CA)",Dicot,Birch family,Perennial,Tree,L48 (N),Spring and Summer,Green,Green,Moderate,Porous,Brown,Rapid,50,75,Long,Yes,Yes,Yes,Yes,Low,None,High,50,125,12,Tolerant,-23,Fall,Low,Low,No
64,Alnus rubra,red alder,ALRU2,ALRU2,"<strong>USA</strong> (AK, ID, MT, OR, WA), <strong>CAN</strong> (BC, CA)",Dicot,Birch family,Perennial,Tree,"L48 (N), AK (N), CAN (N)","Spring, Summer, Fall",,Green,Dense,Moderate,Brown,Moderate,50,90,Short,Yes,Yes,Yes,Yes,None,Medium,High,24,60,25,Intolerant,7,Early Spring,Medium,Low,No
65,Alnus incana ssp. rugosa,speckled alder,ALINR,ALINR,"<strong>USA</strong> (CT, IA, IL, IN, MA, MD, ME, MI, MN, ND, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV), <strong>CAN</strong> (LB, MB, NB, NF, NS, ON, PE, QC, SK), <strong>FRA</strong> (SPM)",Dicot,Birch family,Perennial,"Tree, Shrub","L48 (N), CAN (N), SPM (N)",Spring and Summer,Yellow,Dark Green,Dense,Moderate,Brown,Moderate,16,16,Long,Yes,Yes,Yes,Yes,High,Low,Medium,24,60,24,Intermediate,-38,Early Spring,Medium,Low,No
